                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.043671,               0.058586,               0.067464,                0.01286,                0.79825,                0.71215,                 0.8203,                0.57143,                0.81547,                0.72816,                0.84048,                0.61549,               0.042594,               0.034356,               0.026004,              0.0048368,                0.00793,                0.00793,                0.00793
                     25,               0.044269,               0.060271,               0.069794,               0.012861,                0.74942,                0.81979,                0.84325,                0.60891,                 0.7694,                0.83289,                0.86665,                0.65841,               0.039442,               0.034312,               0.025074,               0.004308,                0.00784,                0.00784,                0.00784
                     26,               0.043881,               0.060727,               0.068111,               0.013042,                0.81975,                0.79872,                0.86673,                0.59251,                0.82798,                0.80863,                0.88775,                0.64678,               0.036096,               0.034441,               0.025206,              0.0040272,                0.00775,                0.00775,                0.00775
                     27,               0.043547,               0.059728,               0.067626,               0.012998,                0.78899,                0.72117,                0.83696,                0.63242,                0.80848,                0.73261,                 0.8528,                0.60556,               0.037078,                 0.0353,               0.029015,              0.0058468,                0.00766,                0.00766,                0.00766
                     28,               0.041897,               0.058621,               0.065585,               0.012582,                0.78682,                0.76986,                0.80481,                0.55215,                0.81076,                0.77762,                0.82663,                0.60829,               0.036098,               0.034566,               0.025576,              0.0038442,                0.00757,                0.00757,                0.00757
                     29,               0.043028,               0.058616,               0.068836,               0.012172,                0.79257,                0.78387,                0.81811,                0.56882,                0.81282,                0.79186,                0.83991,                0.64792,               0.036705,               0.033491,               0.026671,              0.0046009,                0.00748,                0.00748,                0.00748
                     30,               0.042671,               0.059196,               0.065942,               0.012884,                0.84751,                0.77902,                0.83289,                0.63825,                0.86195,                 0.7919,                0.84695,                 0.6706,                0.03673,               0.032564,               0.027203,              0.0057818,                0.00739,                0.00739,                0.00739
                     31,               0.040749,               0.057575,               0.064387,               0.012131,                0.79981,                0.80821,                0.81098,                 0.5851,                0.80529,                0.81845,                0.82493,                0.64413,               0.038594,               0.033068,               0.027888,              0.0038312,                 0.0073,                 0.0073,                 0.0073
                     32,               0.041151,               0.057594,               0.066867,               0.012064,                0.79033,                 0.7137,                0.83393,                0.56918,                0.80745,                0.72531,                0.85311,                0.65916,               0.040573,               0.034167,                0.02713,              0.0040385,                0.00721,                0.00721,                0.00721
                     33,                0.04148,               0.056997,               0.065819,                0.01239,                0.83325,                0.71456,                0.83333,                0.55411,                0.84961,                0.72632,                0.85238,                0.62571,               0.036359,               0.032084,               0.026737,              0.0046906,                0.00712,                0.00712,                0.00712
                     34,               0.041113,               0.057672,               0.066514,               0.012329,                0.77519,                0.80219,                0.83988,                0.61481,                0.78382,                0.80413,                0.84666,                 0.6725,               0.037183,               0.031987,               0.026125,              0.0042547,                0.00703,                0.00703,                0.00703
                     35,               0.041164,               0.057463,               0.067321,               0.012436,                0.80127,                0.83251,                0.85885,                0.63317,                0.81057,                 0.8404,                0.87512,                0.66062,               0.034479,               0.031264,               0.025316,              0.0036938,                0.00694,                0.00694,                0.00694
                     36,               0.041508,                 0.0567,               0.066984,               0.012031,                0.77576,                0.82184,                0.81997,                0.63253,                0.78983,                0.83361,                0.85052,                0.65813,               0.036525,               0.031812,               0.026429,              0.0038085,                0.00685,                0.00685,                0.00685
                     37,               0.041429,               0.056839,               0.065956,                0.01297,                0.78436,                0.79705,                0.84098,                0.59841,                0.82901,                0.78026,                0.86994,                0.66632,               0.034556,               0.032193,               0.026213,              0.0048174,                0.00676,                0.00676,                0.00676
                     38,               0.041784,               0.057229,                 0.0656,               0.012064,                 0.7235,                0.84939,                0.85993,                0.62956,                0.73454,                0.85989,                0.87882,                0.68789,               0.036967,               0.032515,               0.024922,              0.0043456,                0.00667,                0.00667,                0.00667
                     39,               0.040957,               0.057764,               0.063395,               0.011758,                0.78386,                0.83776,                 0.8726,                0.63939,                 0.7974,                0.85046,                0.89596,                0.65735,               0.035923,               0.032708,               0.025949,              0.0045803,                0.00658,                0.00658,                0.00658
                     40,               0.040136,               0.055398,               0.064283,                0.01169,                0.77418,                0.84112,                0.86879,                0.60818,                0.78686,                 0.8536,                0.88965,                0.70746,               0.037314,                  0.032,                0.02687,              0.0036387,                0.00649,                0.00649,                0.00649
                     41,               0.040516,                0.05702,               0.067395,               0.011689,                0.73248,                0.87166,                0.89197,                0.64541,                0.75192,                0.88609,                 0.9075,                0.70504,               0.033836,               0.031561,                 0.0256,              0.0028352,                 0.0064,                 0.0064,                 0.0064
                     42,                0.04001,               0.056656,               0.067438,               0.012619,                0.75642,                0.85922,                0.84431,                0.63099,                0.76671,                0.86483,                0.86348,                0.66565,               0.035073,               0.031379,               0.024891,              0.0034742,                0.00631,                0.00631,                0.00631
                     43,               0.039304,               0.056687,               0.065485,               0.012419,                0.79714,                0.83662,                0.84929,                0.64805,                0.81858,                 0.8397,                0.87174,                0.67336,               0.033418,               0.031198,               0.024591,               0.003698,                0.00622,                0.00622,                0.00622
                     44,               0.038913,               0.054635,               0.063819,               0.011914,                0.79682,                 0.8393,                0.85644,                0.69551,                0.80756,                0.84913,                0.87464,                0.69656,               0.034758,                0.03068,               0.026322,              0.0033385,                0.00613,                0.00613,                0.00613
                     45,               0.039147,               0.056615,               0.064589,                0.01184,                0.82926,                0.83299,                0.85632,                0.64491,                0.84285,                0.84196,                0.87053,                0.67006,               0.032362,               0.031115,               0.023582,              0.0031742,                0.00604,                0.00604,                0.00604
                     46,               0.039679,               0.056568,               0.064701,                0.01193,                 0.7701,                0.86978,                0.83924,                 0.6337,                0.80947,                0.84875,                0.85413,                0.67497,               0.033469,               0.033004,               0.024502,              0.0037304,                0.00595,                0.00595,                0.00595
                     47,               0.039546,               0.056086,               0.064955,               0.012162,                 0.8043,                0.82488,                0.86606,                0.65842,                0.82062,                0.83596,                0.88619,                 0.6791,               0.031459,                0.03054,               0.024709,              0.0030963,                0.00586,                0.00586,                0.00586
                     48,               0.037711,               0.054587,               0.065367,                0.01151,                0.78796,                0.85873,                0.85237,                 0.6351,                0.83623,                0.84622,                0.87287,                0.66256,               0.033145,                0.03062,               0.025286,              0.0031238,                0.00577,                0.00577,                0.00577
                     49,               0.038178,               0.052866,               0.064109,               0.011212,                0.80701,                0.84967,                0.84782,                0.64829,                0.82991,                0.86905,                 0.8705,                0.65712,               0.032785,               0.030411,               0.026147,              0.0031468,                0.00568,                0.00568,                0.00568
                     50,                0.03834,               0.054863,               0.062848,                0.01145,                 0.7882,                0.82385,                0.84865,                0.67727,                0.78904,                0.85665,                0.86235,                0.69625,               0.032795,               0.029468,               0.024668,              0.0037224,                0.00559,                0.00559,                0.00559
